ID Vítima Indiciado/suspeito,AIS,Município de ocorrência,Data da comunicação,Data da ocorrência,Tipo de local,Idade da vítima,Gênero da vítima,Profissão da vítima,faixa etaria
AI0947,AIS 14,São Benedito,2015-01-19,2015-01-17,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0706,AIS 16,Independência,2015-01-19,2015-01-19,RESIDENCIA PARTICULAR,0.0,Feminino,NÃO INFORMADO,Criança
AI0190,AIS 13,Eusébio,2015-01-26,2015-01-26,RESIDENCIA PARTICULAR,4.0,Feminino,ESTUDANTE,Criança
AI0190,AIS 13,Eusébio,2015-01-26,2015-01-26,RESIDENCIA PARTICULAR,7.0,Masculino,ESTUDANTE,Criança
AI0878,AIS 20,Pedra Branca,2015-02-02,2015-02-01,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0552,AIS 16,Ipaporanga,2015-02-07,2015-02-06,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0043,AIS 02,Fortaleza,2015-02-06,2015-02-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0484,AIS 19,Campos Sales,2015-02-19,2015-02-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0782,AIS 19,Juazeiro do Norte,2015-04-09,2015-02-10,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0559,AIS 19,Crato,2015-02-14,2015-02-14,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0359,AIS 17,Morrinhos,2015-02-20,2015-02-14,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0483,AIS 19,Campos Sales,2015-03-05,2015-02-16,NÃO INFORMADO,8.0,Masculino,NÃO INFORMADO,Criança
AI0904,AIS 20,Quixeramobim,2015-02-16,2015-02-16,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0513,AIS 14,Chaval,2015-02-23,2015-02-23,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0198,AIS 13,Aquiraz,2015-03-07,2015-03-07,VIA PUBLICA,1.0,Feminino,NÃO INFORMADO,Criança
AI0809,AIS 18,Limoeiro do Norte,2015-03-25,2015-03-10,RESIDENCIA PARTICULAR,13.0,Masculino,NÃO INFORMADO,Adolecencia
AI0704,AIS 21,Quixelô,2015-03-11,2015-03-11,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0519,AIS 25,Chorozinho,2015-03-17,2015-03-16,RESIDENCIA PARTICULAR,42.0,Feminino,DO LAR,Adulto
AI0989,AIS 14,Massapê,2015-03-22,2015-03-22,NÃO INFORMADO,1.0,Feminino,NÃO INFORMADO,Criança
AI0186,AIS 09,Fortaleza,2015-04-03,2015-04-03,VIA PUBLICA,3.0,Masculino,NÃO INFORMADO,Criança
AI0186,AIS 09,Fortaleza,2015-04-03,2015-04-03,VIA PUBLICA,1.0,Masculino,NÃO INFORMADO,Criança
AI0186,AIS 09,Fortaleza,2015-04-03,2015-04-03,VIA PUBLICA,10.0,Masculino,NÃO INFORMADO,Adolecencia
AI0104,AIS 07,Fortaleza,2015-04-09,2015-04-09,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0736,AIS 18,Iracema,2015-04-22,2015-04-11,RESIDENCIA PARTICULAR,10.0,Masculino,ESTUDANTE,Adolecencia
AI0868,AIS 25,Pacajus,2015-04-14,2015-04-14,VIA PUBLICA,0.0,Feminino,NÃO INFORMADO,Criança
AI0868,AIS 25,Pacajus,2015-04-14,2015-04-14,VIA PUBLICA,0.0,Feminino,NÃO INFORMADO,Criança
AI0125,AIS 11,Caucaia,2015-04-16,2015-04-16,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0968,AIS 20,Milhã,2015-04-30,2015-04-30,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI0065,AIS 12,Maracanaú,2015-05-12,2015-05-09,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0464,AIS 15,Boa Viagem,2016-03-07,2015-05-10,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0568,AIS 19,Crato,2015-05-23,2015-05-23,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0850,AIS 16,Novo Oriente,2015-05-28,2015-05-28,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0476,AIS 14,Camocim,2015-05-30,2015-05-30,NÃO INFORMADO,5.0,Feminino,NÃO INFORMADO,Criança
AI0787,AIS 19,Juazeiro do Norte,2015-05-30,2015-05-30,RESIDENCIA PARTICULAR,8.0,Feminino,ESTUDANTE,Criança
AI0973,AIS 20,Milhã,2015-06-03,2015-06-03,NÃO INFORMADO,,NÃO INFORMADO,NÃO INFORMADO,
AI1018,AIS 22,Tauá,2015-06-09,2015-06-09,RESIDENCIA PARTICULAR,1.0,Feminino,CRIANÇA,Criança
AI1018,AIS 22,Tauá,2015-06-09,2015-06-09,RESIDENCIA PARTICULAR,2.0,Feminino,CRIANÇA,Criança
AI0801,AIS 18,Limoeiro do Norte,2015-06-16,2015-06-15,VIA PUBLICA,,NÃO INFORMADO,NÃO INFORMADO,
AI0295,AIS 04,Fortaleza,2015-06-29,2015-06-20,"HOTEL, PENSAO, ETC",4.0,Feminino,NÃO INFORMADO,Criança
AI0544,AIS 16,Crateús,2015-06-26,2015-06-25,NÃO INFORMADO,36.0,Masculino,AGRICULTOR(A),Adulto
AI0635,AIS 20,Jaguaretama,2015-06-27,2015-06-26,RESIDENCIA PARTICULAR,17.0,Feminino,ESTUDANTE,Jovem
AI0596,AIS 25,Horizonte,2015-07-02,2015-07-02,RESIDENCIA PARTICULAR,8.0,Masculino,ESTUDANTE,Criança
AI0596,AIS 25,Horizonte,2015-07-02,2015-07-02,RESIDENCIA PARTICULAR,5.0,Masculino,ESTUDANTE,Criança
AI0596,AIS 25,Horizonte,2015-07-02,2015-07-02,RESIDENCIA PARTICULAR,13.0,Masculino,ESTUDANTE,Adolecencia
AI0747,AIS 18,Iracema,2015-07-28,2015-07-06,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0084,AIS 12,Maracanaú,2015-07-07,2015-07-07,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0087,AIS 12,Maracanaú,2015-07-09,2015-07-09,RESIDENCIA PARTICULAR,17.0,Masculino,ESTUDANTE,Jovem
AI0183,AIS 24,Maranguape,2015-07-09,2015-07-09,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
AI0802,AIS 18,Limoeiro do Norte,2015-08-25,2015-07-13,RESIDENCIA PARTICULAR,,NÃO INFORMADO,NÃO INFORMADO,
